old_my_translation,new_deepseek
"美的 Celest 壁挂式空调1.5 HP MSPT-12CRN8","美的 Celest 壁挂式空调 1.5 HP MSPT-12CRN8"
"美的 Celest 壁挂式空调2.0 HP MSPT-18CRN8","美的 Celest 壁挂式空调 2.0 HP MSPT-18CRN8"
"美的 Celest 壁挂式空调2.5 HP MSCE-25CRFN8","美的 Celest 壁挂式空调 2.5 HP MSCE-25CRFN8"
"美的 Celest 壁挂式空调2.5 HP MSPT-24CRN8","美的 Celest 壁挂式空调 2.5 HP MSPT-24CRN8"
"美的 Celest 壁挂式空调3.0 HP MSCE-28CRFN8","美的 Celest 壁挂式空调 3.0 HP MSCE-28CRFN8"
"集成 HealthGuard 与 Magic Pro 过滤器，强化除菌，守护使用者健康……","集成HealthGuard与Magic Pro过滤器，强化除菌，守护使用者健康……"
"Turbo、清洁+ 与深层清洁功能带来强劲而便捷的清洁效果……","Turbo、清洁+与深层清洁功能带来强劲而便捷的清洁效果……"
"高效洗涤性能：深层清洁系统配合 Magic Pro 过滤器，有效清除污垢与细菌。","高效洗涤性能：深层清洁系统配合Magic Pro过滤器，有效清除污垢与细菌。"
"美的 8.5kg 洗衣机 MA100W85","美的8.5kg洗衣机MA100W85"
"快洗模式 - 智能洗涤 快洗模式结合一键智能洗涤，操作更简单便捷……","快洗模式 - 智能洗涤：快洗模式结合一键智能洗涤，操作更简单便捷……"
"美的 8.5kg 洗衣机 MA200W85","美的8.5kg洗衣机MA200W85"
"HEALTHGUARD 技术 HealthGuard 技术辅助除菌并保持洁净的洗涤环境，让衣物更安心 自清洁……","HEALTHGUARD技术：HealthGuard技术辅助除菌并保持洁净的洗涤环境，让衣物更安心。自清洁……"
"HealthGuard 技术辅助除菌并保持洁净的洗涤环境，让衣物更安心……","HealthGuard技术辅助除菌并保持洁净的洗涤环境，让衣物更安心……"
"Turbo 技术增强洗涤力，高效去除污渍并缩短时间……","Turbo技术增强洗涤力，高效去除污渍并缩短时间……"
"卓越性能：深层清洁系统配合 Magic Pro 过滤器，有效清除污垢与细菌。","卓越性能：深层清洁系统配合Magic Pro过滤器，有效清除污垢与细菌。"
"美的 9.5kg 洗衣机 MF200W95","美的9.5kg洗衣机MF200W95"
"自动清洁模式，可清除细菌并保持洁净的洗涤环境 SMART CONTROL 支持远程监控与操作……","自动清洁模式，可清除细菌并保持洁净的洗涤环境。SMART CONTROL支持远程监控与操作……"
"美的 9.5kg 洗衣机 MA200W95","美的9.5kg洗衣机MA200W95"
"快洗 - 柔护洗涤 快洗程序结合便捷的一键操作 自清洁模式 自动清洁并除菌……","快洗 - 柔护洗涤：快洗程序结合便捷的一键操作。自清洁模式：自动清洁并除菌……"
"美的 7kg 干衣机 MD100A70","美的7kg干衣机MD100A70"
"除菌烘干模式 Healthy Guard 技术在烘干结束后保持滚筒内高温，彻底除菌。……","除菌烘干模式：Healthy Guard技术在烘干结束后保持滚筒内高温，彻底除菌。……"
"美的 2000W 单灶电磁炉 MI-B2015DE","美的2000W单灶电磁炉MI-B2015DE"
"厨房电器 · 电磁炉","厨房电器·电磁炉"
"小巧灵活的设计 外观精致轻巧，单灶电磁炉安装或移动都极为便捷 功率……","小巧灵活的设计：外观精致轻巧，单灶电磁炉安装或移动都极为便捷。功率……"
"工作功率高达 2000W，带来极速烹饪体验，缩短……","工作功率高达2000W，带来极速烹饪体验，缩短……"
"内置 6 种智能烹饪程序，包括：煲汤、爆炒、煎炸、炖汤……","内置6种智能烹饪程序，包括：煲汤、爆炒、煎炸、炖汤……"
"美的 2000W 单灶电磁炉 MI-K1923EF(B)","美的2000W单灶电磁炉MI-K1923EF(B)"
"KANGER 微晶玻璃面板 钢化耐热、防刮、易清洁 节省空间 设计小巧雅致 简……","KANGER微晶玻璃面板：钢化耐热、防刮、易清洁。节省空间：设计小巧雅致。简……"
"KANGER 玻璃面板：钢化耐热、防刮、易清洁","KANGER玻璃面板：钢化耐热、防刮、易清洁"
"美的 2100W 单灶电磁炉 MC-2125BVN","美的2100W单灶电磁炉MC-2125BVN"
"EVEN-PRO 技术 受热均匀，烹饪美味地道 卓越性能 功率高达 2100W，可快速烧开水……","EVEN-PRO技术：受热均匀，烹饪美味地道。卓越性能：功率高达2100W，可快速烧开水……"
"EVEN-PRO 技术：受热均匀，烹饪美味地道","EVEN-PRO技术：受热均匀，烹饪美味地道"
"功率高达 2100W，仅需片刻即可烧开水、加热食物……","功率高达2100W，仅需片刻即可烧开水、加热食物……"
"美的 2100W 单灶电磁炉 MC-2125DVN","美的2100W单灶电磁炉MC-2125DVN"
"卓越烹饪性能：2100W 功率搭配 8 档可调火力，烹饪快速又灵活","卓越烹饪性能：2100W功率搭配8档可调火力，烹饪快速又灵活"
"通过 CB/EMC 认证，防水设计与 II 类绝缘，保障全面安全……","通过CB/EMC认证，防水设计与II类绝缘，保障全面安全……"
"轻巧设计：重量仅 1.95kg，厚度 65mm，便于移动与收纳","轻巧设计：重量仅1.95kg，厚度65mm，便于移动与收纳"
"美的 2200W 单灶电磁炉 IC2204","美的2200W单灶电磁炉IC2204"
"卓越性能 功率高达 2200W，瞬间即可烧开水、加热食物 9 档火力 系……","卓越性能：功率高达2200W，瞬间即可烧开水、加热食物。9档火力：系……"
"功率高达 2200W，仅需片刻即可烧开水、加热食物……","功率高达2200W，仅需片刻即可烧开水、加热食物……"
"9 档火力：控制系统让您灵活调节 9 种不同温度档位","9档火力：控制系统让您灵活调节9种不同温度档位"
"美的 2200W 单灶电磁炉 MIC221T0AGA","美的2200W单灶电磁炉 MIC221T0AGA"
"EVEN-PRO 技术 受热均匀，烹饪美味地道 卓越性能 功率高达 2200W，可快速烧开水……","EVEN-PRO技术 受热均匀，烹饪美味地道 卓越性能 功率高达2200W，可快速烧开水……"
"美的 2200W 单灶电磁炉 MIC221T0AGG","美的2200W单灶电磁炉 MIC221T0AGG"
"美的 2200W 单灶电磁炉 MIC221T0AGH","美的2200W单灶电磁炉 MIC221T0AGH"
"美的 5L 电压力锅 MPM50010AMG","美的5L电压力锅 MPM50010AMG"
"厨房电器 · 压力锅","厨房电器·压力锅"
"强劲性能 1000W 功率，烹饪压力高达 70Kpa 高级搪瓷不粘合金内胆 内胆厚度 1.5mm……","强劲性能 1000W功率，烹饪压力高达70Kpa 高级搪瓷不粘合金内胆 内胆厚度1.5mm……"
"强劲性能：1000W 功率，烹饪压力高达 70Kpa","强劲性能：1000W功率，烹饪压力高达70Kpa"
"美的 220W 抽油烟机 MH60L07EM23W-VN","美的220W抽油烟机 MH60L07EM23W-VN"
"厨房电器 · 烟机","厨房电器·烟机"
"强劲吸力高达 1050 m³/h：快速高效去除油烟与异味，保持厨房清新洁净。","强劲吸力高达1050 m³/h：快速高效去除油烟与异味，保持厨房清新洁净。"
"BLDC 电机搭配 iSmoke 传感器：节能 BLDC 电机配合油烟传感器，实现智能高效运行。","BLDC电机搭配iSmoke传感器：节能BLDC电机配合油烟传感器，实现智能高效运行。"
"触控与手势操控：通过触摸或挥手即可便捷调节 5 档吸力。","触控与手势操控：通过触摸或挥手即可便捷调节5档吸力。"
"美的 0.6L 机械式电饭煲 MR-CM06SA","美的0.6L机械式电饭煲 MR-CM06SA"
"小家电 · 电饭煲","小家电·电饭煲"
"持久保温 连续保温长达 12 小时，让米饭始终热腾腾 高级内胆 内胆采用搪瓷不粘铝合金……","持久保温 连续保温长达12小时，让米饭始终热腾腾 高级内胆 内胆采用搪瓷不粘铝合金……"
"持久保温：连续保温长达 12 小时，让米饭始终热腾腾","持久保温：连续保温长达12小时，让米饭始终热腾腾"
"极速烹煮：1D 技术使米饭熟得均匀并节省电能","极速烹煮：1D技术使米饭熟得均匀并节省电能"
"小巧容量：0.6 升，单身人士与年轻家庭的理想之选。","小巧容量：0.6升，单身人士与年轻家庭的理想之选。"
"FUZZY LOGIC 模糊逻辑技术：智能温度传感，100% 保留营养","FUZZY LOGIC模糊逻辑技术：智能温度传感，100%保留营养"
"持久保温 连续保温长达 12 小时，让米饭始终热腾腾 高级内胆 耐用搪瓷不粘铝合金，安全……","持久保温 连续保温长达12小时，让米饭始终热腾腾 高级内胆 耐用搪瓷不粘铝合金，安全……"
"小巧容量：0.6 升，单身人士与年轻家庭的理想之选","小巧容量：0.6升，单身人士与年轻家庭的理想之选"
"美的 0.7L 高端电饭煲 MRD070T1BDS","美的0.7L高端电饭煲 MRD070T1BDS"
"Turbo 对流阀 9 种预设烹饪程序 不粘抗菌内胆","Turbo对流阀 9种预设烹饪程序 不粘抗菌内胆"
"美的 1L 高端电饭煲 MRD100T1BDG","美的1L高端电饭煲 MRD100T1BDG"
"增压阀 - 快速烹饪 特制增压阀激发空气对流，维持沸腾状态，让烹饪更快……","增压阀-快速烹饪 特制增压阀激发空气对流，维持沸腾状态，让烹饪更快……"
"一键多样美食：10 道预设菜单，探索无限烹饪可能。","一键多样美食：10道预设菜单，探索无限烹饪可能。"
"智能烹饪：每道预设菜单都配有 AI 生成的智能烹饪曲线","智能烹饪：每道预设菜单都配有AI生成的智能烹饪曲线"
"24 小时预约烹饪：只需提前备好食材，即可自主设定米饭煮熟时间","24小时预约烹饪：只需提前备好食材，即可自主设定米饭煮熟时间"
"美的 1.8L 高端电饭煲 MRD180T1BDN","美的1.8L高端电饭煲 MRD180T1BDN"
"雅致小巧设计 弧形加热盘设计，3D 立体加热 AI 六段控温 多层加厚内胆……","雅致小巧设计 弧形加热盘设计，3D立体加热 AI六段控温 多层加厚内胆……"
"美的 1.8L 高端电饭煲 MRD180T2BDG","美的1.8L高端电饭煲 MRD180T2BDG"
"3D 立体加热与弧形加热盘 弧形加热盘紧贴内胆的设计与 3D 立体加热技术完美结合……","3D立体加热与弧形加热盘 弧形加热盘紧贴内胆的设计与3D立体加热技术完美结合……"
"独到之处在于人工智能（AI）大脑可在 6 个阶段自动调节温度……","独到之处在于人工智能（AI）大脑可在6个阶段自动调节温度……"
"多层内胆：3.1mm 多层内胆设计，导热极佳，缩短烹饪时间","多层内胆：3.1mm多层内胆设计，导热极佳，缩短烹饪时间"
"美的 1.8L IH 高端电饭煲 MRI180T2BDG","美的1.8L IH高端电饭煲 MRI180T2BDG"
"多维 IH 电磁加热技术 受热均匀，米粒熟透入味 Turbo 对流阀 智能控制蒸汽 备长炭涂层内胆……","多维IH电磁加热技术：受热均匀，米粒熟透入味；Turbo对流阀：智能控制蒸汽；备长炭涂层内胆……"
"多维 IH 电磁加热技术：受热均匀，米粒熟透入味","多维IH电磁加热技术：受热均匀，米粒熟透入味"
"Turbo 对流阀：智能控制蒸汽","Turbo对流阀：智能控制蒸汽"
"美的 1.8L 电脑式电饭煲 MRD-ADA18B","美的1.8L电脑式电饭煲 MRD-ADA18B"
"持久保温 连续保温长达 24 小时，让米饭始终热腾腾 高级内胆 耐用搪瓷不粘铝合金，安全……","持久保温：连续保温长达24小时，让米饭始终热腾腾；高级内胆：耐用搪瓷不粘铝合金，安全……"
"持久保温：连续保温长达 24 小时，让米饭始终热腾腾","持久保温：连续保温长达24小时，让米饭始终热腾腾"
"美的 1.8L 电饭煲 MRM18010BDG","美的1.8L电饭煲 MRM18010BDG"
"一键轻松烹饪 只需按一下按钮即可快速便捷地开始煮饭。长效保温 自动保温功能……","一键轻松烹饪：只需按一下按钮即可快速便捷地开始煮饭；长效保温：自动保温功能……"
"美的 1.8L 电饭煲 MRM18010BDN","美的1.8L电饭煲 MRM18010BDN"
"美的 23W 空气净化器 KJ300GVN","美的23W空气净化器 KJ300GVN"
"小家电 · 净化器","小家电·净化器"
"LED 屏显示粉尘浓度 实时显示空气中的粉尘浓度 P2.5 细颗粒物传感器 检测细颗粒……","LED屏显示粉尘浓度：实时显示空气中的粉尘浓度；P2.5细颗粒物传感器：检测细颗粒……"
"LED 屏显示粉尘浓度：实时显示空气中的粉尘浓度","LED屏显示粉尘浓度：实时显示空气中的粉尘浓度"
"P2.5 细颗粒物传感器：检测 1-10μm 的细颗粒物，如香烟烟雾、花粉、室内灰尘等","P2.5细颗粒物传感器：检测1-10μm的细颗粒物，如香烟烟雾、花粉、室内灰尘等"
"3 种灵活运行模式：自定义、智能和睡眠三种模式","3种灵活运行模式：自定义、智能和睡眠三种模式"
"适用面积 18–30㎡","适用面积18–30㎡"
"美的 35W 空气净化器 KJ400GVN","美的35W空气净化器 KJ400GVN"
"3 种灵活运行模式 自定义模式、智能模式和睡眠模式 P2.5 细颗粒物传感器 检测 1– 微米细颗粒物……","3种灵活运行模式：自定义模式、智能模式和睡眠模式；P2.5细颗粒物传感器：检测1–微米细颗粒物……"
"3 种灵活运行模式：自定义模式、智能模式和睡眠模式","3种灵活运行模式：自定义模式、智能模式和睡眠模式"
"P2.5 细颗粒物传感器：检测 1–10µm 的细颗粒物，如香烟烟雾、花粉、室内灰尘。","P2.5细颗粒物传感器：检测1–10µm的细颗粒物，如香烟烟雾、花粉、室内灰尘。"
"广阔的净化范围：在 28–48㎡ 空间内高效运行。","广阔的净化范围：在28–48㎡空间内高效运行。"
"App 远程操控：可通过 Smart Home App 轻松控制。","App远程操控：可通过Smart Home App轻松控制。"
"LED 屏显示粉尘浓度：根据室内粉尘浓度显示对应颜色","LED屏显示粉尘浓度：根据室内粉尘浓度显示对应颜色"
"美的 35W 落地扇 MFS070R0APBH","美的35W落地扇 MFS070R0APBH"
"小家电 · 风扇","小家电·风扇"
"运行模式 额外节能 30% 极简设计 适配各种家居风格 最大噪音：58 dB，静音运……","运行模式：额外节能30%；极简设计：适配各种家居风格；最大噪音：58dB，静音运……"
"运行模式：额外节能 30%","运行模式：额外节能30%"
"最大噪音：58 dB，静音运行，不影响生活与睡眠","最大噪音：58dB，静音运行，不影响生活与睡眠"
"3 档灵活风速：可按需轻松调节","3档灵活风速：可按需轻松调节"
"高度可调 113 – 136.2 cm：适合多种使用空间","高度可调113–136.2cm：适合多种使用空间"
"美的 50W 落地扇 FS40-24ER","美的50W落地扇 FS40-24ER"
"3 档按键风速 直观的按键控制系统，提供从柔和、自然到强劲的 3 档风速 扇叶直径……","3档按键风速：直观的按键控制系统，提供从柔和、自然到强劲的3档风速；扇叶直径……"
"直观的按键控制系统，提供从柔和、自然到强劲的 3 档风速……","直观的按键控制系统，提供从柔和、自然到强劲的3档风速……"
"智能定时关机功能，最长 7 小时，让您主动管理用电……","智能定时关机功能，最长7小时，让您主动管理用电……"
"美的 50W 落地扇 FS40-24EVN(K)","美的50W落地扇 FS40-24EVN(K)"
"强劲风力，快速降温 50W 功率带来稳定舒适的气流 静音运行 无噪音，适合……","强劲风力，快速降温：50W功率带来稳定舒适的气流；静音运行：无噪音，适合……"
"强劲风力，快速降温：50W 功率带来稳定舒适的气流","强劲风力，快速降温：50W功率带来稳定舒适的气流"
"现代造型设计 高度可灵活调节。55W 功率配 3 片扇叶 快速降温 轻松调……","现代造型设计，高度可灵活调节。55W 功率配3片扇叶，快速降温，轻松调……"
"55W 功率配 3 片扇叶：快速降温","55W 功率配3片扇叶：快速降温"
"轻松调节 3 档风速：简单的按键操控。","轻松调节3档风速：简单的按键操控。"
"极简现代设计 适配各种家居风格 耐用纯铜线电机 运行安静，节能省电 功率……","极简现代设计，适配各种家居风格。耐用纯铜线电机，运行安静，节能省电。功率……"
"快速大面积降温 强劲的 55W 功率搭配直径达 40cm 的 3 片大扇叶系统，设备……","快速大面积降温：强劲的55W功率搭配直径达40cm的3片大扇叶系统，设备……"
"多功能便捷操控 为用户带来便利与高效 高度轻松可调 可灵活调节高度……","多功能便捷操控：为用户带来便利与高效。高度轻松可调，可灵活调节高度……"
"强劲 1700W 功率 吸尘快速高效 高级棉质过滤器 锁住灰尘，提升清洁效果 集尘盒……","强劲1700W功率：吸尘快速高效。高级棉质过滤器，锁住灰尘，提升清洁效果。集尘盒……"
"强劲 1700W 功率：吸尘快速高效","强劲1700W功率：吸尘快速高效"
"5 米远距吸尘：移动方便，便于清洁远处位置","5米远距吸尘：移动方便，便于清洁远处位置"
"180° 平躺设计 11cm 超薄机身搭配助力迷你滚轮，可完全平躺 180°，轻松穿行……","180°平躺设计：11cm超薄机身搭配助力迷你滚轮，可完全平躺180°，轻松穿行……"
"无线吸尘器 移动灵活，高效清洁家中各个区域。强劲吸力 轻松清除……","无线吸尘器：移动灵活，高效清洁家中各个区域。强劲吸力，轻松清除……"
"180° 灵活吸头：轻松清洁死角与难以触及的区域","180°灵活吸头：轻松清洁死角与难以触及的区域"
"小巧手持设计 移动便捷，使用灵活。稳定吸力 高效辅助清洁灰尘。HEPA 过滤器……","小巧手持设计：移动便捷，使用灵活。稳定吸力，高效辅助清洁灰尘。HEPA过滤器……"
"HEPA 过滤器：过滤细微灰尘，改善空气质量","HEPA过滤器：过滤细微灰尘，改善空气质量"
"0.8L 集尘盒：拆卸与清洁轻松","0.8L集尘盒：拆卸与清洁轻松"
"随附 2 个吸头：便捷的地板吸头与缝隙吸头","随附2个吸头：便捷的地板吸头与缝隙吸头"
"美的 650W 手持式吸尘器 MS861APBK 强劲吸力与高功率 吸力高达 15000 Pa，工作功率……","美的 650W 手持式吸尘器 MS861APBK：强劲吸力与高功率，吸力高达15000Pa，工作功率……"
"强劲吸力 16,200 Pa 集充电与自清洁于一体的基站 ScrubExtend 拖布外扩技术 精准区分干湿垃圾……","强劲吸力16200Pa，集充电与自清洁于一体的基站，ScrubExtend拖布外扩技术，精准区分干湿垃圾……"
"突破性 MEGAWATER 技术 凭借已获专利的增压装置，热水供应量提升达 20%，帮助降低……","突破性 MEGAWATER 技术：凭借已获专利的增压装置，热水供应量提升达 20%，帮助降低……"
"隔热塑料外壳，IPX4 防水 防水高效，适合潮湿的浴室环境 ELCB 电气安全系统……","隔热塑料外壳，IPX4 防水：防水高效，适合潮湿的浴室环境；ELCB 电气安全系统……"
"超薄精致横置设计 横向纤薄机身节省浴室空间，安装便捷 功能……","超薄精致横置设计：横向纤薄机身节省浴室空间，安装便捷；功能……"
"超薄精致横置设计 横向纤薄机身节省浴室空间，安装便捷 水箱……","超薄精致横置设计：横向纤薄机身节省浴室空间，安装便捷；水箱……"
"强劲 2500W 功率 快速加热，满足 1-2 人连续使用需求 造型设计……","强劲 2500W 功率：快速加热，满足 1-2 人连续使用需求；造型设计……"
"螺旋加热系统 螺旋加热系统——热水器中的“隐形”核心——可增大接触面积……","螺旋加热系统：螺旋加热系统——热水器中的“隐形”核心——可增大接触面积……"
"净水 · 饮水机","净水·饮水机"
"双龙头双重冷热功能 冷热制取高效 电子芯片制冷 让机器价格更实惠，适……","双龙头双重冷热功能：冷热制取高效；电子芯片制冷：让机器价格更实惠，适……"
"大功率运行 高效满足日常冷热水需求 芯片制冷技术 制冷稳定，运行……","大功率运行：高效满足日常冷热水需求；芯片制冷技术：制冷稳定，运行……"
"便捷下置水桶设计 换桶轻松，无需将重桶抬高，省力便捷 热水龙头儿童安全锁……","便捷下置水桶设计：换桶轻松，无需将重桶抬高，省力便捷；热水龙头儿童安全锁……"
"人造石由约 90% 石粉 / 石英粉 + 树脂压制而成；大规格板材，可按需切割","人造石由约90%石粉/石英粉+树脂压制而成；大规格板材，可按需切割"
"A 字铁架 + 护角 + 缠绕膜；出口采用木箱","A字铁架+护角+缠绕膜；出口采用木箱"
"12 – 30mm（视系列而定）","12–30mm（视系列而定）"
"切割及放置热锅时使用砧板 / 隔热垫；避免骤冷骤热。","切割及放置热锅时使用砧板/隔热垫；避免骤冷骤热"
"鹏翔是母集团；德盛石材是越南法人主体（乂安工厂），共享同一产品体系。","鹏翔是母集团；德盛石材是越南法人主体（乂安工厂），共享同一产品体系"
"按集装箱计；交期随订单确认。","按集装箱计；交期随订单确认"
"鹏翔人造石英石（engineered quartz）—— 由约 90% 石英粉 + 树脂压制而成：硬度高、耐刮擦、防渗透、耐酸。适用于厨房台面、台盆面、地面、墙面铺贴。","鹏翔人造石英石（engineered quartz）——由约90%石英粉+树脂压制而成：硬度高、耐刮擦、防渗透、耐酸。适用于厨房台面、台盆面、地面、墙面铺贴"
"石英石凭借耐用且无孔的表面，是最受欢迎的厨房台面人造石系列。","石英石凭借耐用且无孔的表面，是最受欢迎的厨房台面人造石系列"
"硬度高于天然石材，耐刮擦，少维护。","硬度高于天然石材，耐刮擦，少维护"
"表面无孔，不渗水 / 渗油。","表面无孔，不渗水/渗油"
"多种色调及 Calacatta 金纹系列。","多种色调及Calacatta金纹系列"
"鹏翔人造大理石（engineered/artificial marble）—— 高度还原天然大理石纹理，且均匀度高、易于加工、价格合理，适用于墙面、地面、室内装饰。","鹏翔人造大理石（engineered/artificial marble）——高度还原天然大理石纹理，且均匀度高、易于加工、价格合理，适用于墙面、地面、室内装饰"
"人造大理石纹理美观均匀、瑕疵少，适用于大面积铺贴。","人造大理石纹理美观均匀、瑕疵少，适用于大面积铺贴"
"在同等美学效果下价格优于天然大理石。","在同等美学效果下价格优于天然大理石"
"鹏翔人造玉石（onyx）—— 具备透光（translucent）效果与独特玉石纹理，适用于点缀项目、背光隔断、吧台。","鹏翔人造玉石（onyx）——具备透光（translucent）效果与独特玉石纹理，适用于点缀项目、背光隔断、吧台"
"人造玉石再现天然玉石的梦幻之美，且耐用性更高。","人造玉石再现天然玉石的梦幻之美，且耐用性更高"
"背光（backlit）照射时尤为出彩、高雅。","背光（backlit）照射时尤为出彩、高雅"
"鹏翔人造水磨石（terrazzo）—— 石粒 / 玻璃粒均匀分布于基底，呈现现代水磨石风格，适用于地面、墙面、台面。","鹏翔人造水磨石（terrazzo）——石粒/玻璃粒均匀分布于基底，呈现现代水磨石风格，适用于地面、墙面、台面"
"水磨石凭借耐用与美观重回现代设计潮流。","水磨石凭借耐用与美观重回现代设计潮流"
"石粒 / 玻璃粒 + 树脂 / 水泥基底","石粒/玻璃粒+树脂/水泥基底"
"现代撒粒效果，契合设计潮流。","现代撒粒效果，契合设计潮流"
"耐磨性佳，适用于高客流地面。","耐磨性佳，适用于高客流地面"
"米色人造大理石，属细颗粒系列，色调柔和、明亮淡雅。适用于商业项目、家居及批发，常用于卫浴隔板、窗台及装饰。","米色人造大理石，属细颗粒系列，色调柔和、明亮淡雅。适用于商业项目、家居及批发，常用于卫浴隔板、窗台及装饰"
"12-30mm（标准 18mm 或 20mm）","12-30mm（标准18mm或20mm）"
"白色仿大理石纹人造石板材，由天然石材、大理石粉与树脂制成，提供白、灰、黑、米等色。环保且易于保养，适用于墙面、地面、卫浴、淋浴挡板等。","白色仿大理石纹人造石板材，由天然石材、大理石粉与树脂制成，提供白、灰、黑、米等色。环保且易于保养，适用于墙面、地面、卫浴、淋浴挡板等"
"白灰纹人造石英石表面板材（型号 PXQZ 240610-2），由 90% 石英粉与树脂制成。高度耐酸、耐污、耐热、耐刮擦；环保且易于维护。","白灰纹人造石英石表面板材（型号PXQZ 240610-2），由90%石英粉与树脂制成。高度耐酸、耐污、耐热、耐刮擦；环保且易于维护"
"鹏翔人造石英石板材（90% 石英粉 + 树脂），呈米色 / Calacatta 风格。适用于厨房台面与中岛台面、墙面饰面、卫浴台盆面及面向商业项目的定制家居。","鹏翔人造石英石板材（90%石英粉+树脂），呈米色/Calacatta风格。适用于厨房台面与中岛台面、墙面饰面、卫浴台盆面及面向商业项目的定制家居"
"Calacatta Gold 人造石英石板材，由 90% 石英粉制成，白底配金纹。高度耐酸、耐污、耐热、耐刮擦，适用于厨房台面与中岛台面、墙面饰面、台盆面等。","Calacatta Gold人造石英石板材，由90%石英粉制成，白底配金纹。高度耐酸、耐污、耐热、耐刮擦，适用于厨房台面与中岛台面、墙面饰面、台盆面等"
"米色耐热人造石英石板材，由 90% 石英粉与树脂制成。耐酸、耐污、耐热、耐刮擦，环保且易于维护，适用于厨房台面、中岛台面等。","米色耐热人造石英石板材，由90%石英粉与树脂制成。耐酸、耐污、耐热、耐刮擦，环保且易于维护，适用于厨房台面、中岛台面等"
"耐热；耐酸 / 耐污 / 耐刮擦；环保；易于清洁与维护","耐热；耐酸/耐污/耐刮擦；环保；易于清洁与维护"
"鹏翔人造石英石 PXQZ 241021-1","鹏翔人造石英石PXQZ 241021-1"
"鹏翔 PXQZ 241021-1 是一款由石英粉（90%）与树脂制成的人造石英石板材，提供白、灰、黑、米等色。耐酸、耐污、耐热、耐刮擦，环保。","鹏翔PXQZ 241021-1是一款由石英粉（90%）与树脂制成的人造石英石板材，提供白、灰、黑、米等色。耐酸、耐污、耐热、耐刮擦，环保"
"人造石英石板材（PXQZ 241021-2），由 90% 石英粉与树脂制成，提供白、灰、黑、米等色。典型应用包括厨房台面与中岛台面、墙面饰面、卫浴台盆面等。","人造石英石板材（PXQZ 241021-2），由90%石英粉与树脂制成，提供白、灰、黑、米等色。典型应用包括厨房台面与中岛台面、墙面饰面、卫浴台盆面等。"
"高度耐酸 / 耐污 / 耐热 / 耐刮擦，环保，易于维护","高度耐酸/耐污/耐热/耐刮擦，环保，易于维护"
"米色人造石英石表面板材（90% 石英粉 + 树脂），适用于厨房台面与中岛台面、墙面饰面、卫浴台盆面及定制家居。耐酸、耐污、耐热、耐刮擦。","米色人造石英石表面板材（90%石英粉+树脂），适用于厨房台面与中岛台面、墙面饰面、卫浴台盆面及定制家居。耐酸、耐污、耐热、耐刮擦。"
"来自福建鹏翔的批发型人造石英石板材（90% 石英粉 + 树脂）。提供白、灰、黑、米等色，适用于厨房台面、中岛台面、地面铺装、墙面饰面及卫浴台盆面。支持定制。","来自福建鹏翔的批发型人造石英石板材（90%石英粉+树脂）。提供白、灰、黑、米等色，适用于厨房台面、中岛台面、地面铺装、墙面饰面及卫浴台盆面。支持定制。"
"黄色人造石英石板材，由 90% 石英粉与树脂制成，高度耐酸、耐污、耐热、耐刮擦。适用于商业项目、家居中的厨房台面、台盆面及地面铺装。","黄色人造石英石板材，由90%石英粉与树脂制成，高度耐酸、耐污、耐热、耐刮擦。适用于商业项目、家居中的厨房台面、台盆面及地面铺装。"
"黑色大规格人造石英石板材，来自鹏翔（中国福建），由 90% 石英粉与树脂制成。适用于厨房台面、墙面饰面、卫浴台盆面及定制家居，具备出色的耐用性能。","黑色大规格人造石英石板材，来自鹏翔（中国福建），由90%石英粉与树脂制成。适用于厨房台面、墙面饰面、卫浴台盆面及定制家居，具备出色的耐用性能。"
"高度耐酸 / 耐污 / 耐热 / 耐刮擦，环保，易于维护，耐用","高度耐酸/耐污/耐热/耐刮擦，环保，易于维护，耐用"
"Calacatta 风格人造石英石板材（90% 石英粉与树脂），白底灰纹。典型应用包括厨房台面与中岛台面、墙面饰面、卫浴台盆面及定制家居。","Calacatta风格人造石英石板材（90%石英粉与树脂），白底灰纹。典型应用包括厨房台面与中岛台面、墙面饰面、卫浴台盆面及定制家居。"
"米色人造石英石板材，由 90% 石英粉与树脂制成，高度耐酸、耐污、耐热、耐刮擦。环保且易于维护，适用于厨房台面、台盆面等。","米色人造石英石板材，由90%石英粉与树脂制成，高度耐酸、耐污、耐热、耐刮擦。环保且易于维护，适用于厨房台面、台盆面等。"
"米色人造石英石板材，由 90% 石英粉与树脂制成，具备高度耐酸、耐污、耐热、耐刮擦性能。适用于厨房台面、台盆面、地面铺装及墙面饰面等。","米色人造石英石板材，由90%石英粉与树脂制成，具备高度耐酸、耐污、耐热、耐刮擦性能。适用于厨房台面、台盆面、地面铺装及墙面饰面等。"
"Golden Veins 人造石英石板材，白底配金纹（calacatta 风格），由 90% 石英粉与树脂制成。适用于厨房台面、墙面饰面、卫浴台盆面、定制家居等。","Golden Veins人造石英石板材，白底配金纹（Calacatta风格），由90%石英粉与树脂制成。适用于厨房台面、墙面饰面、卫浴台盆面、定制家居等。"
"5000 ㎡/月","5000㎡/月"
